,edge,edge_text,variables,variables_text
187,(criticizes/Pd.sox.|f--3s-/en italy/Cp.s/en europe/Cp.s/en (amid/T/en (deepening/P.o.|pg----/en (migrant/Ma/en crisis/Cc.s/en)))),Italy criticizes Europe amid deepening migrant crisis,"[{'PRED': ['criticizes/Pd.sox.|f--3s-/en'], 'SOURCE': ['italy/Cp.s/en'], 'TARGET': ['europe/Cp.s/en'], 'TOPIC': [['deepening/P.o.|pg----/en'], [['migrant/Ma/en'], ['crisis/Cc.s/en']]]}]","[{'PRED': 'criticizes', 'SOURCE': 'Italy', 'TARGET': 'Europe', 'TOPIC': 'deepening migrant crisis'}]"
188,(criticizes/Pd.sox.|f--3s-/en russia/Cp.s/en canada/Cp.s/en (for/T/en (voting/P.xx.|pg----/en (against/T/en (its/Mp/en (+/B.am/. un/Cp.s/en resolution/Cc.s/en))) ((to/Mi/en combat/Pd.o.-i-----/en) (of/Br.ma/en glorification/Cc.s/en nazism/Cp.s/en))))),Russia criticizes Canada for voting against its UN resolution to combat 'glorification of Nazism,"[{'PRED': ['criticizes/Pd.sox.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['canada/Cp.s/en'], 'TOPIC': [['voting/P.xx.|pg----/en'], [['against/T/en'], [['its/Mp/en'], [['+/B.am/.'], ['un/Cp.s/en'], ['resolution/Cc.s/en']]]], [[['to/Mi/en'], ['combat/Pd.o.-i-----/en']], [['of/Br.ma/en'], ['glorification/Cc.s/en'], ['nazism/Cp.s/en']]]]}]","[{'PRED': 'criticizes', 'SOURCE': 'Russia', 'TARGET': 'Canada', 'TOPIC': ""voting against its UN resolution to combat 'glorification of Nazism""}]"
189,(criticizes/Pd.sox.|f--3s-/en seoul/Cp.s/en japan/Cp.s/en (for/T/en (sending/P.o.|pg----/en (of/Br.ma/en denial/Cc.s/en (to/Br.ma/en ('/Bp.am/en (+/B.am/. (forcible/Ma/en recruitment/Cc.s/en) (+/B.am/. comfort/Cc.s/en women/Cc.p/en)) report/Cc.s/en) (+/B.am/. u%2en%2e/Cp.s/en committee/Cc.s/en)))))),Seoul criticizes Japan for sending denial of forcible recruitment 'comfort women' report to U.N. committee,"[{'PRED': ['criticizes/Pd.sox.|f--3s-/en'], 'SOURCE': ['seoul/Cp.s/en'], 'TARGET': ['japan/Cp.s/en'], 'TOPIC': [['sending/P.o.|pg----/en'], [['of/Br.ma/en'], ['denial/Cc.s/en'], [['to/Br.ma/en'], [[""'/Bp.am/en""], [['+/B.am/.'], [['forcible/Ma/en'], ['recruitment/Cc.s/en']], [['+/B.am/.'], ['comfort/Cc.s/en'], ['women/Cc.p/en']]], ['report/Cc.s/en']], [['+/B.am/.'], ['u%2en%2e/Cp.s/en'], ['committee/Cc.s/en']]]]]}]","[{'PRED': 'criticizes', 'SOURCE': 'Seoul', 'TARGET': 'Japan', 'TOPIC': ""sending denial of forcible recruitment 'comfort women' report to U.N. committee""}]"
190,(criticizes/Pd.sox.|f--3s-/en syria/Cp.s/en jordan/Cp.s/en (for/T/en (hosting/P.o.|pg----/en (+/B.am/. rebel/Cc.s/en training/Cc.s/en)))),Syria criticizes Jordan for hosting rebel training,"[{'PRED': ['criticizes/Pd.sox.|f--3s-/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['jordan/Cp.s/en'], 'TOPIC': [['hosting/P.o.|pg----/en'], [['+/B.am/.'], ['rebel/Cc.s/en'], ['training/Cc.s/en']]]}]","[{'PRED': 'criticizes', 'SOURCE': 'Syria', 'TARGET': 'Jordan', 'TOPIC': 'hosting rebel training'}]"
191,(criticizes/Pd.sox.|f--3s-/en tehran/Cp.s/en france/Cp.s/en (for/T/en (hosting/P.o.|pg----/en (anti/Ma/en (-/Ma/en (iran/Ma/en (terrorist/Ma/en group/Cc.s/en))))))),Tehran criticizes France for hosting anti-Iran terrorist group,"[{'PRED': ['criticizes/Pd.sox.|f--3s-/en'], 'SOURCE': ['tehran/Cp.s/en'], 'TARGET': ['france/Cp.s/en'], 'TOPIC': [['hosting/P.o.|pg----/en'], [['anti/Ma/en'], [['-/Ma/en'], [['iran/Ma/en'], [['terrorist/Ma/en'], ['group/Cc.s/en']]]]]]}]","[{'PRED': 'criticizes', 'SOURCE': 'Tehran', 'TARGET': 'France', 'TOPIC': 'hosting anti-Iran terrorist group'}]"
192,(criticizes/Pd.sox.|f--3s-/en un/Cp.s/en germany/Cp.s/en (for/T/en ((not/Mn/en censoring/P.o.|pg----/en) (and/J/en (controversial/Ma/en banker/Cp.s/en) (+/B.am/. author/Cp.s/en (+/B.am/. thilo/Cp.s/en sarrazin/Cp.s/en)))))),UN Criticizes Germany for not Censoring Controversial Banker and Author Thilo Sarrazin,"[{'PRED': ['criticizes/Pd.sox.|f--3s-/en'], 'SOURCE': ['un/Cp.s/en'], 'TARGET': ['germany/Cp.s/en'], 'TOPIC': [[['not/Mn/en'], ['censoring/P.o.|pg----/en']], [['and/J/en'], [['controversial/Ma/en'], ['banker/Cp.s/en']], [['+/B.am/.'], ['author/Cp.s/en'], [['+/B.am/.'], ['thilo/Cp.s/en'], ['sarrazin/Cp.s/en']]]]]}]","[{'PRED': 'criticizes', 'SOURCE': 'UN', 'TARGET': 'Germany', 'TOPIC': 'not Censoring Controversial Banker and Author Thilo Sarrazin'}]"
193,(declare/Pd.so.-i-----/en jihadis/Cc.p/en war/Cc.s/en),jihadis ‘declare war,"[{'PRED': ['declare/Pd.so.-i-----/en'], 'SOURCE': ['jihadis/Cc.p/en'], 'TARGET': ['war/Cc.s/en']}]","[{'PRED': 'declare', 'SOURCE': 'jihadis', 'TARGET': 'war'}]"
194,(defends/Pd.so?.|f--3s-/en china/Cp.s/en russia/Cp.s/en (criticizes/Pd.o?.|f--3s-/en (+/B.am/. economic/Cp.s/en sanctions/Cp.p/en) (related/P.xx.<pf----/en (to/T/en (+/B.am/. ukraine/Cp.s/en crisis/Cp.s/en)) (during/T/en (+/B.am/. g-7/Cp.s/en summit/Cp.s/en))))),"China Defends Russia, Criticizes Economic Sanctions Related To Ukraine Crisis During G-7 Summit","[{'PRED': ['defends/Pd.so?.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'defends', 'SOURCE': 'China', 'TARGET': 'Russia'}]"
195,(defends/Pd.so?o.|f--3s-/en cuba/Cp.s/en russia/Cp.s/en (criticizes/Pd.o.|f--3s-/en (+/B.am/. economic/Cp.s/en sanctions/Cp.p/en)) (in/Br.ma/en ('s/Bp.am/en nato/Cp.s/en expansion/Cc.s/en) (+/B.am/. eastern/Cp.s/en europe/Cp.s/en))),"Cuba Defends Russia, Criticizes Economic Sanctions, NATO's Expansion In Eastern Europe","[{'PRED': ['defends/Pd.so?o.|f--3s-/en'], 'SOURCE': ['cuba/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'Defends', 'SOURCE': 'Cuba', 'TARGET': 'Russia'}]"
196,(denies/Pd.soo.|f--3s-/en china/Cp.s/en (by/Br.ma/en (+/B.am/. (+/B.am/. hong/Cp.s/en kong/Cp.s/en) (+/B.am/. visit/Cc.s/en request/Cc.s/en)) (+/B.am/. (+/B.am/. u%2es%2e/Cp.s/en carrier/Cc.s/en) group/Cc.s/en)) pentagon/Cp.s/en),China denies Hong Kong visit request by U.S. carrier group: Pentagon,"[{'PRED': ['denies/Pd.soo.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['pentagon/Cp.s/en']}]","[{'PRED': 'denies', 'SOURCE': 'China', 'TARGET': 'Pentagon'}]"
197,(denounced/Pd.soxx.<f-----/en china/Cp.s/en japan/Cp.s/en (on/Tt/en tuesday/Cp.s/en) (for/T/en (playing/P.oxx.|pg----/en (a/Md/en (+/B.am/. word/Cc.s/en game/Cc.s/en)) (with/T/en (of/Br.ma/en (its/Mp/en history/Cc.s/en) (forced/Mv.<pf----/en labor/Cc.s/en))) (after/T/en (sought/Pd.sr.<f-----/en ('s/Bp.am/en japan/Cp.s/en (foreign/Ma/en minister/Cc.s/en)) ((down/Ml/en (to/Mi/en water/P.o.-i-----/en)) (of/Br.ma/en (the/Md/en acknowledgement/Cc.s/en) (its/Mp/en (forced/Mv.<pf----/en (+/B.am/. labor/Cc.s/en practices/Cc.p/en)))))))))),"China denounced Japan on Tuesday for playing a word game"" with its history of forced labor after Japan 's foreign minister sought to water down the acknowledgement of its forced labor practices","[{'PRED': ['denounced/Pd.soxx.<f-----/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['japan/Cp.s/en'], 'TOPIC': [['playing/P.oxx.|pg----/en'], [['a/Md/en'], [['+/B.am/.'], ['word/Cc.s/en'], ['game/Cc.s/en']]], [['with/T/en'], [['of/Br.ma/en'], [['its/Mp/en'], ['history/Cc.s/en']], [['forced/Mv.<pf----/en'], ['labor/Cc.s/en']]]], [['after/T/en'], [['sought/Pd.sr.<f-----/en'], [[""'s/Bp.am/en""], ['japan/Cp.s/en'], [['foreign/Ma/en'], ['minister/Cc.s/en']]], [[['down/Ml/en'], [['to/Mi/en'], ['water/P.o.-i-----/en']]], [['of/Br.ma/en'], [['the/Md/en'], ['acknowledgement/Cc.s/en']], [['its/Mp/en'], [['forced/Mv.<pf----/en'], [['+/B.am/.'], ['labor/Cc.s/en'], ['practices/Cc.p/en']]]]]]]]]}]","[{'PRED': 'denounced', 'SOURCE': 'China', 'TARGET': 'Japan', 'TOPIC': 'playing a word game"" with its history of forced labor after Japan \'s foreign minister sought to water down the acknowledgement of its forced labor practices'}]"
198,(denounces/Pd.sox.|f--3s-/en syria/Cp.s/en qatar/Cp.s/en (for/T/en (saying/P.r.|pg----/en ((will/Mm/en continue/P.sr.-i-----/en) it/Ci/en ((to/Mi/en back/P.o.-i-----/en) rebels/Cc.p/en))))),Syria denounces Qatar for saying it will continue to back rebels,"[{'PRED': ['denounces/Pd.sox.|f--3s-/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['qatar/Cp.s/en'], 'TOPIC': [['saying/P.r.|pg----/en'], [[['will/Mm/en'], ['continue/P.sr.-i-----/en']], ['it/Ci/en'], [[['to/Mi/en'], ['back/P.o.-i-----/en']], ['rebels/Cc.p/en']]]]}]","[{'PRED': 'denounces', 'SOURCE': 'Syria', 'TARGET': 'Qatar', 'TOPIC': 'saying it will continue to back rebels'}]"
199,(deports/Pd.so.|f--3s-/en serbia/Cp.s/en russians/Cp.p/en),Serbia deports Russians,"[{'PRED': ['deports/Pd.so.|f--3s-/en'], 'SOURCE': ['serbia/Cp.s/en'], 'TARGET': ['russians/Cp.p/en']}]","[{'PRED': 'deports', 'SOURCE': 'Serbia', 'TARGET': 'Russians'}]"
200,(deports/Pd.soo.|f--3s-/en indonesia/Cp.s/en chinese/Ca/en (of/Br.ma/en (taiwanese/Ma/en (+/B.am/. cyber/Ca/en gang/Cc.s/en)) 50/C#/en)),"Indonesia deports Chinese, Taiwanese cyber gang of 50","[{'PRED': ['deports/Pd.soo.|f--3s-/en'], 'SOURCE': ['indonesia/Cp.s/en'], 'TARGET': ['chinese/Ca/en']}]","[{'PRED': 'deports', 'SOURCE': 'Indonesia', 'TARGET': 'Chinese'}]"
201,(deports/Pd.sor.|f--3s-/en china/Cp.s/en canadian/Cp.s/en (detained/P.xx.<f-----/en (two/M#/en years/Cc.p/en) (on/T/en suspicion/Cc.s/en))),China deports Canadian detained two years on suspicion,"[{'PRED': ['deports/Pd.sor.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['canadian/Cp.s/en']}]","[{'PRED': 'deports', 'SOURCE': 'China', 'TARGET': 'Canadian'}]"
202,(deports/Pd.sot.|f--3s-/en france/Cp.s/en moroccan/Cp.s/en (says/Mv.|f--3s-/en it/Ci/en)),France deports Moroccan it says,"[{'PRED': ['deports/Pd.sot.|f--3s-/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['moroccan/Cp.s/en']}]","[{'PRED': 'deports', 'SOURCE': 'France', 'TARGET': 'Moroccan'}]"
203,(deports/Pd.sox.|f--3s-/en china/Cp.s/en foreigners/Cc.p/en (for/T/en (watching/P.o.|pg----/en (+/B.mm/. terrorism/Cc.s/en video/Cc.s/en)))),China deports foreigners for watching 'terrorism' video,"[{'PRED': ['deports/Pd.sox.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['foreigners/Cc.p/en'], 'TOPIC': [['watching/P.o.|pg----/en'], [['+/B.mm/.'], ['terrorism/Cc.s/en'], ['video/Cc.s/en']]]}]","[{'PRED': 'deports', 'SOURCE': 'China', 'TARGET': 'foreigners', 'TOPIC': ""watching 'terrorism' video""}]"
204,(deports/Pd.sox.|f--3s-/en india/Cp.s/en australian/Ca/en (for/T/en (being/P.c.|pg----/en (+/B.am/. isis/Cm/en supporter/Cc.s/en)))),India deports Australian for being ISIS 'supporter,"[{'PRED': ['deports/Pd.sox.|f--3s-/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['australian/Ca/en'], 'TOPIC': [['being/P.c.|pg----/en'], [['+/B.am/.'], ['isis/Cm/en'], ['supporter/Cc.s/en']]]}]","[{'PRED': 'deports', 'SOURCE': 'India', 'TARGET': 'Australian', 'TOPIC': ""being ISIS 'supporter""}]"
205,(destroy/Pd.soxx.-i-----/en germany/Cp.s/en brazil/Cp.s/en (-/B/en 7/C#/en 1/C#/en) (as/T/en (becomes/Pd.scx.|f--3s-/en (+/B.am/. miroslav/Cp.s/en klose/Cp.s/en) (the/Md/en (+/B.am/. record/Cc.s/en scorer/Cc.s/en)) (by/T/en (netting/P.o.|pg----/en (in/Br.ma/en (his/Mp/en (16th/Ma/en (finals/M/en goal/Cc.s/en))) (+/B.am/. (+/B.am/. world/Cp.s/en cup/Cp.s/en) history/Cp.s/en))))))),Germany destroy Brazil 7-1 as Miroslav Klose becomes the record scorer by netting his 16th finals goal in World Cup History,"[{'PRED': ['destroy/Pd.soxx.-i-----/en'], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['brazil/Cp.s/en'], 'TOPIC': [['becomes/Pd.scx.|f--3s-/en'], [['+/B.am/.'], ['miroslav/Cp.s/en'], ['klose/Cp.s/en']], [['the/Md/en'], [['+/B.am/.'], ['record/Cc.s/en'], ['scorer/Cc.s/en']]], [['by/T/en'], [['netting/P.o.|pg----/en'], [['in/Br.ma/en'], [['his/Mp/en'], [['16th/Ma/en'], [['finals/M/en'], ['goal/Cc.s/en']]]], [['+/B.am/.'], [['+/B.am/.'], ['world/Cp.s/en'], ['cup/Cp.s/en']], ['history/Cp.s/en']]]]]]}]","[{'PRED': 'destroy', 'SOURCE': 'Germany', 'TARGET': 'Brazil', 'TOPIC': 'Miroslav Klose becomes the record scorer by netting his 16th finals goal in World Cup History'}]"
206,(do/P.so.|f-----/en you/Ci/en evil/Cc.s/en),you do evil,"[{'PRED': ['do/P.so.|f-----/en'], 'SOURCE': ['you/Ci/en'], 'TARGET': ['evil/Cc.s/en']}]","[{'PRED': 'do', 'SOURCE': 'you', 'TARGET': 'evil'}]"
207,(fight/P.so.-i-----/en eu/Cp.s/en terror/Cc.s/en),EU fight terror,"[{'PRED': ['fight/P.so.-i-----/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['terror/Cc.s/en']}]","[{'PRED': 'fight', 'SOURCE': 'EU', 'TARGET': 'terror'}]"
208,(fight/P.so.-i-----/en iraq/Cp.s/en isis/Cp.s/en),Iraq Fight ISIS,"[{'PRED': ['fight/P.so.-i-----/en'], 'SOURCE': ['iraq/Cp.s/en'], 'TARGET': ['isis/Cp.s/en']}]","[{'PRED': 'fight', 'SOURCE': 'Iraq', 'TARGET': 'ISIS'}]"
209,(fight/P.so.-i-----/en you/Ci/en isis/Cp.s/en),you fight ISIS,"[{'PRED': ['fight/P.so.-i-----/en'], 'SOURCE': ['you/Ci/en'], 'TARGET': ['isis/Cp.s/en']}]","[{'PRED': 'fight', 'SOURCE': 'you', 'TARGET': 'ISIS'}]"
210,(hate/Pd.so.-i-----/en liberals/Cc.p/en christianity/Cc.s/en),Liberals ‘Hate Christianity,"[{'PRED': ['hate/Pd.so.-i-----/en'], 'SOURCE': ['liberals/Cc.p/en'], 'TARGET': ['christianity/Cc.s/en']}]","[{'PRED': 'hate', 'SOURCE': 'liberals', 'TARGET': 'Christianity'}]"
211,(hate/Pd.so.|f-----/en i/Ci/en feminism/Cc.s/en),I hate feminism,"[{'PRED': ['hate/Pd.so.|f-----/en'], 'SOURCE': ['i/Ci/en'], 'TARGET': ['feminism/Cc.s/en']}]","[{'PRED': 'hate', 'SOURCE': 'I', 'TARGET': 'feminism'}]"
212,(hate/Pd.so.|f-----/en you/Ci/en apple/Cp.s/en),you hate Apple,"[{'PRED': ['hate/Pd.so.|f-----/en'], 'SOURCE': ['you/Ci/en'], 'TARGET': ['apple/Cp.s/en']}]","[{'PRED': 'hate', 'SOURCE': 'you', 'TARGET': 'Apple'}]"
213,(kidnap/P.so.-i-----/en islamists/Cp.p/en westerners/Cc.p/en),Islamists kidnap westerners,"[{'PRED': ['kidnap/P.so.-i-----/en'], 'SOURCE': ['islamists/Cp.p/en'], 'TARGET': ['westerners/Cc.p/en']}]","[{'PRED': 'kidnap', 'SOURCE': 'Islamists', 'TARGET': 'Westerners'}]"
214,(kidnap/Pd.soo.|f-----/en jihadists/Cc.p/en (in/Br.ma/en ((nearly/M/en 200/M#/en) kurds/Cp.p/en) syria/Cp.s/en) ngo/Cp.s/en),Jihadists kidnap nearly 200 Kurds in Syria: NGO,"[{'PRED': ['kidnap/Pd.soo.|f-----/en'], 'SOURCE': ['jihadists/Cc.p/en'], 'TARGET': ['ngo/Cp.s/en']}]","[{'PRED': 'kidnap', 'SOURCE': 'jihadists', 'TARGET': 'NGO'}]"
215,(killing/Pd.soo.|pg----/en israel/Cp.s/en (in/Br.ma/en (nuclear/Ma/en scientists/Cc.p/en) mideast/Cp.s/en) iran/Cp.s/en),Israel killing nuclear scientists in Mideast: Iran,"[{'PRED': ['killing/Pd.soo.|pg----/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['iran/Cp.s/en']}]","[{'PRED': 'killing', 'SOURCE': 'Israel', 'TARGET': 'Iran'}]"
216,(kills/Pd.so?.|f--3s-/en palestinian/Ca/en israeli/Cp.s/en (injures/Pd.oxx.|f--3s-/en 13/C#/en (in/T/en (+/B.am/. jerusalem/Cp.s/en (+/B.am/. car/Cc.s/en attack/Cc.s/en))) (before/T/en ((being/Mv.|pg----/en shot/P.oa.<pf----/en) dead/Ca/en (by/T/en police/Cc.p/en))))),"Palestinian kills Israeli, injures 13 in Jerusalem car attack before being shot dead by police","[{'PRED': ['kills/Pd.so?.|f--3s-/en'], 'SOURCE': ['palestinian/Ca/en'], 'TARGET': ['israeli/Cp.s/en']}]","[{'PRED': 'kills', 'SOURCE': 'Palestinian', 'TARGET': 'Israeli'}]"
217,(kills/Pd.sor.|f--3s-/en france/Cp.s/en jihadi/Cp.s/en (wanted/P.a.<pf----/en (by/T/en u%2es%2e/Cp.s/en))),France Kills Jihadi Wanted by U.S.,"[{'PRED': ['kills/Pd.sor.|f--3s-/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['jihadi/Cp.s/en']}]","[{'PRED': 'kills', 'SOURCE': 'France', 'TARGET': 'jihadi'}]"
218,(lambasts/P.so.|f--3s-/en obama/Cp.s/en putin/Cp.s/en),Obama lambasts Putin,"[{'PRED': ['lambasts/P.so.|f--3s-/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['putin/Cp.s/en']}]","[{'PRED': 'lambasts', 'SOURCE': 'Obama', 'TARGET': 'Putin'}]"
219,(leave/P.so.-i-----/en greece/Cp.s/en euro/Cp.s/en),Greece Leave Euro,"[{'PRED': ['leave/P.so.-i-----/en'], 'SOURCE': ['greece/Cp.s/en'], 'TARGET': ['euro/Cp.s/en']}]","[{'PRED': 'leave', 'SOURCE': 'Greece', 'TARGET': 'Euro'}]"
220,(leave/P.so.|f-----/en israel/Cp.s/en palestine/Cp.s/en),Israel leave 'Palestine,"[{'PRED': ['leave/P.so.|f-----/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['palestine/Cp.s/en']}]","[{'PRED': 'leave', 'SOURCE': 'Israel', 'TARGET': 'Palestine'}]"
221,(leave/P.sox.-i-----/en greece/Cp.s/en eurozone/Cc.s/en (if/T/en (reject/Pd.so.|f-----/en voters/Cc.p/en austerity/Cc.s/en))),Greece leave eurozone' if voters reject austerity,"[{'PRED': ['leave/P.sox.-i-----/en'], 'SOURCE': ['greece/Cp.s/en'], 'TARGET': ['eurozone/Cc.s/en'], 'TOPIC': [['reject/Pd.so.|f-----/en'], ['voters/Cc.p/en'], ['austerity/Cc.s/en']]}]","[{'PRED': 'leave', 'SOURCE': 'Greece', 'TARGET': 'eurozone', 'TOPIC': 'voters reject austerity'}]"
222,(leave/Pd.so.|f-----/en you/Ci/en eu/Cp.s/en),you leave EU,"[{'PRED': ['leave/Pd.so.|f-----/en'], 'SOURCE': ['you/Ci/en'], 'TARGET': ['eu/Cp.s/en']}]","[{'PRED': 'leave', 'SOURCE': 'you', 'TARGET': 'EU'}]"
223,(leave/Pd.sox?.|f-----/en jews/Cp.p/en turkey/Cp.s/en (for/T/en (fleeing/P.so.|pg----/en spain/Cp.s/en (unnerving/Ma/en (+/B.mm/. wave/Cc.s/en (of/Br.ma/en anti/Ca/en -/Ca/en))))) semitism/Cc.s/en),Jews leave Turkey for Spain fleeing ‘unnerving’ wave of anti-semitism,"[{'PRED': ['leave/Pd.sox?.|f-----/en'], 'SOURCE': ['jews/Cp.p/en'], 'TARGET': ['turkey/Cp.s/en'], 'TOPIC': [['fleeing/P.so.|pg----/en'], ['spain/Cp.s/en'], [['unnerving/Ma/en'], [['+/B.mm/.'], ['wave/Cc.s/en'], [['of/Br.ma/en'], ['anti/Ca/en'], ['-/Ca/en']]]]]}]","[{'PRED': 'Leave', 'SOURCE': 'Jews', 'TARGET': 'Turkey', 'TOPIC': 'Spain fleeing ‘unnerving’ wave of anti-'}]"
224,(punishes/P.so.|f--3s-/en eu/Cp.s/en russia/Cp.s/en),EU punishes Russia,"[{'PRED': ['punishes/P.so.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'punishes', 'SOURCE': 'EU', 'TARGET': 'Russia'}]"
225,(push/Pd.sor.|f-----/en africans/Cp.p/en un/Cp.s/en ((off/Ml/en (to/Mi/en call/P.o.-i-----/en)) (racist/Ma/en court/Cc.s/en))),Africans push UN to call off 'racist' court,"[{'PRED': ['push/Pd.sor.|f-----/en'], 'SOURCE': ['africans/Cp.p/en'], 'TARGET': ['un/Cp.s/en']}]","[{'PRED': 'push', 'SOURCE': 'Africans', 'TARGET': 'UN'}]"
226,(rebukes/Pd.sox.|f--3s-/en china/Cp.s/en norway/Cp.s/en (for/T/en (citing/P.so.|pg----/en (expelling/Mv.|pg----/en scholar/Cc.s/en) (academic/Ma/en freedom/Cc.s/en)))),China rebukes Norway for expelling scholar citing 'academic freedom,"[{'PRED': ['rebukes/Pd.sox.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['norway/Cp.s/en'], 'TOPIC': [['citing/P.so.|pg----/en'], [['expelling/Mv.|pg----/en'], ['scholar/Cc.s/en']], [['academic/Ma/en'], ['freedom/Cc.s/en']]]}]","[{'PRED': 'rebukes', 'SOURCE': 'China', 'TARGET': 'Norway', 'TOPIC': ""expelling scholar citing 'academic freedom""}]"
227,(rebukes/Pd.sox.|f--3s-/en eu/Cp.s/en hungary/Cp.s/en (as/T/en (escalate/Pd.s.|f-----/en (+/B.am/. (+/B.am/. refugee/Cc.s/en crisis/Cc.s/en) tensions/Cc.p/en)))),EU rebukes Hungary as refugee crisis tensions escalate,"[{'PRED': ['rebukes/Pd.sox.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['hungary/Cp.s/en'], 'TOPIC': [['escalate/Pd.s.|f-----/en'], [['+/B.am/.'], [['+/B.am/.'], ['refugee/Cc.s/en'], ['crisis/Cc.s/en']], ['tensions/Cc.p/en']]]}]","[{'PRED': 'rebukes', 'SOURCE': 'EU', 'TARGET': 'Hungary', 'TOPIC': 'refugee crisis tensions escalate'}]"
228,(resist/Pd.ssoor.|f-----/en germany/Cp.s/en (other/Ma/en (+/B.am/. eu/Cp.s/en nations/Cc.p/en)) nato/Cp.s/en rearmament/Cc.s/en (calls/P.o.|f--3s-/en russia/Cp.s/en)),"Germany, Other EU Nations Resist NATO ‘Rearmament’ Calls Russia","[{'PRED': ['resist/Pd.ssoor.|f-----/en'], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['nato/Cp.s/en']}]","[{'PRED': 'Resist', 'SOURCE': 'Germany', 'TARGET': 'NATO'}]"
229,(say/Pd.sor.<f-----/en australia/Cp.s/en russia/Cp.s/en (((not/Mn/en to/M/en) blame/P!.r.-i-----/en) (+/B.mm/. evidence/Cc.s/en tampered/Cp.s/en))),"Australia Say Russia Not To Blame, Evidence Tampered","[{'PRED': ['say/Pd.sor.<f-----/en'], 'SOURCE': ['australia/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'Say', 'SOURCE': 'Australia', 'TARGET': 'Russia'}]"
230,(say/Pd.ssor.<f-----/en u%2es%2e/Cp.s/en israel/Cp.s/en syria/Cp.s/en ((do/Mv.|f-----/en (n't/Mn/en belong/P.sx.-i-----/en)) iran/Cp.s/en (on/T/en (+/B.am/. u%2en%2e/Cp.s/en (+/B.am/. rights/Cp.p/en body/Cc.s/en))))),"U.S., Israel Say Syria, Iran Don't Belong on U.N. Rights Body","[{'PRED': ['say/Pd.ssor.<f-----/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'Say', 'SOURCE': 'Israel', 'TARGET': 'Syria'}]"
231,(scolds/Pd.so?.|f--3s-/en china/Cp.s/en britain/Cp.s/en (tells/Pd.or.|f--3s-/en it/Ci/en ((not/Mn/en (to/Mi/en meddle/P.x.-i-----/en)) (in/T/en (’s/Bp.am/en (+/B.am/. hong/Cp.s/en kong/Cp.s/en) affairs/Cc.p/en))))),"China scolds Britain, tells it not to meddle in Hong Kong’s affairs","[{'PRED': ['scolds/Pd.so?.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['britain/Cp.s/en']}]","[{'PRED': 'scolds', 'SOURCE': 'China', 'TARGET': 'Britain'}]"
232,(scolds/Pd.sor.|f--3s-/en russia/Cp.s/en canada/Cp.s/en (dies/P.?sx.|f--3s-/en (suspected/Mv.<pf----/en after/C/en) (nazi/Ma/en (+/B.am/. war/Cc.s/en criminal/Cc.s/en)) (in/T/en quebec/Cp.s/en))),Russia scolds Canada after suspected Nazi war criminal dies in Quebec,"[{'PRED': ['scolds/Pd.sor.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['canada/Cp.s/en']}]","[{'PRED': 'scolds', 'SOURCE': 'Russia', 'TARGET': 'Canada'}]"
233,(shoot/P.so.-i-----/en you/Ci/en me/Ci/en),you shoot me,"[{'PRED': ['shoot/P.so.-i-----/en'], 'SOURCE': ['you/Ci/en'], 'TARGET': ['me/Ci/en']}]","[{'PRED': 'shoot', 'SOURCE': 'you', 'TARGET': 'me'}]"
